iso3c,country,region,income_group,capital_city,is_aggregate
SLV,El Salvador,Latin America & Caribbean,Upper middle income,San Salvador,False
SMR,San Marino,Europe & Central Asia,High income,San Marino,False
SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa,Low income,Mogadishu,False
SRB,Serbia,Europe & Central Asia,Upper middle income,Belgrade,False
SSA,Sub-Saharan Africa (excluding high income),Aggregates,Aggregates,,True
SSD,South Sudan,Sub-Saharan Africa,Low income,Juba,False
SSF,Sub-Saharan Africa ,Aggregates,Aggregates,,True
SST,Small states,Aggregates,Aggregates,,True
STP,Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,Sao Tome,False
SUR,Suriname,Latin America & Caribbean,Upper middle income,Paramaribo,False
SVK,Slovak Republic,Europe & Central Asia,High income,Bratislava,False
SVN,Slovenia,Europe & Central Asia,High income,Ljubljana,False
SWE,Sweden,Europe & Central Asia,High income,Stockholm,False
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,Mbabane,False
SXM,Sint Maarten (Dutch part),Latin America & Caribbean,High income,Philipsburg,False
SXZ,Sub-Saharan Africa excluding South Africa,Aggregates,Aggregates,,True
SYC,Seychelles,Sub-Saharan Africa,High income,Victoria,False
SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",Low income,Damascus,False
TCA,Turks and Caicos Islands,Latin America & Caribbean,High income,Grand Turk,False
TCD,Chad,Sub-Saharan Africa,Low income,N'Djamena,False
TEA,East Asia & Pacific (IDA & IBRD countries),Aggregates,Aggregates,,True
TEC,Europe & Central Asia (IDA & IBRD countries),Aggregates,Aggregates,,True
TGO,Togo,Sub-Saharan Africa,Lower middle income,Lome,False
THA,Thailand,East Asia & Pacific,Upper middle income,Bangkok,False
TJK,Tajikistan,Europe & Central Asia,Lower middle income,Dushanbe,False
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,Ashgabat,False
TLA,Latin America & the Caribbean (IDA & IBRD countries),Aggregates,Aggregates,,True
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,Dili,False
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",Aggregates,Aggregates,,True
TON,Tonga,East Asia & Pacific,Upper middle income,Nuku'alofa,False
TSA,South Asia (IDA & IBRD),Aggregates,Aggregates,,True
TSS,Sub-Saharan Africa (IDA & IBRD countries),Aggregates,Aggregates,,True
TTO,Trinidad and Tobago,Latin America & Caribbean,High income,Port-of-Spain,False
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Tunis,False
TUR,Turkiye,Europe & Central Asia,Upper middle income,Ankara,False
TUV,Tuvalu,East Asia & Pacific,Upper middle income,Funafuti,False
TZA,Tanzania,Sub-Saharan Africa,Lower middle income,Dodoma,False
UGA,Uganda,Sub-Saharan Africa,Low income,Kampala,False
UKR,Ukraine,Europe & Central Asia,Upper middle income,Kiev,False
UMC,Upper middle income,Aggregates,Aggregates,,True
URY,Uruguay,Latin America & Caribbean,High income,Montevideo,False
USA,United States,North America,High income,Washington D.C.,False
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,Tashkent,False
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,Kingstown,False
VEN,"Venezuela, RB",Latin America & Caribbean,Lower middle income,Caracas,False
VGB,British Virgin Islands,Latin America & Caribbean,High income,Road Town,False
VIR,Virgin Islands (U.S.),Latin America & Caribbean,High income,Charlotte Amalie,False
VNM,Viet Nam,East Asia & Pacific,Upper middle income,Hanoi,False
VUT,Vanuatu,East Asia & Pacific,Lower middle income,Port-Vila,False
WLD,World,Aggregates,Aggregates,,True
WSM,Samoa,East Asia & Pacific,Upper middle income,Apia,False
XKX,Kosovo,Europe & Central Asia,Upper middle income,Pristina,False
XZN,Sub-Saharan Africa excluding South Africa and Nigeria,Aggregates,Aggregates,,True
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",Low income,Sana'a,False
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,Pretoria,False
ZMB,Zambia,Sub-Saharan Africa,Lower middle income,Lusaka,False
ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,Harare,False
